# syn_a_rewrite.txt — Tier A hard-rewrite lookup
# Source: pick_canonicals_a.py --emit (Policy C on syn_a_10.txt)
# Members that are themselves canonicals of any cluster are not
# emitted. On ambiguity across SAFE clusters, highest member score wins.
# Format: member,canonical
#
unpitying,ruthless
unrelenting,unwavering
unremarkable,everyday
unsightly,hideous
untrusting,suspicious
unusual,peculiar
utter,perfect
varied,miscellaneous
various,miscellaneous
vast,big
vehement,violent
vile,wretched
viscid,sticky
warriorlike,martial
watery,wet
wealthy,rich
weedy,skinny
whopping,jumbo
willing,ready
wonderful,magnificent
workable,viable
working,busy
zany,silly
zesty,spicy
